 -> 1
1,100-square-kilometer -> 62
1,100-square-meter -> 6
1,100-worker -> 3
1,103-member -> 1
1,103-squarae-kilometer -> 1
1,106-passenger -> 1
1,108-character -> 1
1,109-meter -> 1
1,110-meter -> 1
1,110-square-kilometer -> 1
1,110-square-meter -> 1
1,111-square-kilometer -> 1
1,114-square-meter -> 1
1,115-kilometer -> 2
1,115-square-meter -> 4
1,116-member -> 1
1,116-square-meter -> 1
1,117-meter -> 3
1,118-kilometer -> 10
1,120-kilometer -> 7
1,120-square-meter -> 1
1,122-meter -> 1
1,125-kilometer -> 8
1,125-meter -> 1
1,126-kilometer -> 8
1,127,127-square-kilometer -> 1
1,127-kilometer -> 1
1,128-kilometer -> 1
1,128-meter -> 1
1,128.7-kilometer -> 1
1,129-kilometer -> 1
1,130-cubic-centimeter -> 1
1,130-kilometer -> 13
1,130-member -> 2
1,130-meter -> 1
1,130-officer -> 1
1,130-square-kilometer -> 1
1,130-won-per -> 1
1,131-cubic-centimeter -> 1
1,131-meter -> 4
1,132-meter -> 2
1,133-meter -> 2
1,134-passenger -> 1
1,135-kilometer -> 1
1,135-liter -> 2
1,136-liter -> 1
1,138-kilometer -> 1
1,139-meter -> 1
1,140-kilometer -> 4
1,140-member -> 2
1,140-meter -> 2
1,140-square-kilometer -> 5
1,141-kilometer -> 1
1,142-kilometer -> 22
1,142-kilometerother -> 1
1,142-member -> 1
1,142-meter -> 1
1,1440-kilometer -> 1
1,145-meter -> 1
1,146-passenger -> 2
1,147-cubic-centimeter -> 1
1,147-kilometer -> 1
1,149-meter -> 1
1,150-horsepower -> 1
1,150-kilometer -> 7
1,150-member -> 1
1,150-meter -> 6
1,150-square-kilometer -> 4
1,150-square-meter -> 2
1,153-kilometer -> 5
1,160-kilometer -> 5
1,160-meter -> 1
1,162-kilometer -> 1
1,162.31-kilometer -> 2
1,163-kilometer -> 6
1,164-member -> 2
1,165-kilometer -> 1
1,166-kilometer -> 1
1,167-kilometer -> 1
1,167-meter -> 1
1,168-passenger -> 1
1,170-cubic-centimeter -> 1
1,170-meter -> 2
1,170-square-meter -> 3
1,174-kilometer -> 1
1,175-member -> 1
1,180-kilometer -> 3
1,180-passenger -> 1
1,180-square-kilometer -> 2
1,181-meter -> 1
1,184-meter -> 1
1,185-letter -> 1
1,185-meter -> 1
1,187-member -> 1
1,189-meter -> 1
1,190-meter -> 2
1,190-square-kilometer -> 1
1,198-kilometer -> 1
1,200-horsepower -> 11
1,200-kilometer -> 105
1,200-kroner -> 1
1,200-lawyer -> 2
1,200-liter -> 1
1,200-member -> 111
1,200-meter -> 59
1,200-officer -> 1
1,200-passenger -> 11
1,200-pound-per -> 1
1,200-soldier -> 2
1,200-square-kilometer -> 17
1,200-square-meter -> 17
1,200-subscriber -> 2
1,200-worker -> 6
1,201-meter -> 1
1,203-cubic-centimeter -> 1
1,204-member -> 1
1,205-kilometer -> 1
1,206-kilometer -> 4
1,206-member -> 1
1,208-sqquare-meter -> 1
1,210-meter -> 1
1,212-passenger -> 3
1,213-kilometer -> 2
1,214-meter -> 1
1,214-passenger -> 6
1,216-kilometer -> 2
1,216-member -> 1
1,218-kilometer -> 1
1,219-meter -> 2
1,219-square-kilometer -> 1
1,220-kilometer -> 1
1,220-meter -> 3
1,224-kilometer -> 1
1,224-member -> 2
1,224-square-meter -> 1
1,225-kilometer -> 4
1,227-kilometer -> 1
1,230-kilometer -> 1
1,230-member -> 2
1,233-sq-kilometer -> 1
1,235-kilometer -> 1
1,238-meter -> 1
1,238th-richest -> 1
1,239-member -> 1
1,240-meter -> 6
1,241-kilometer -> 2
1,243-meter -> 2
1,244-kilometer -> 1
1,244-member -> 1
1,246-kilometer -> 1
1,246-meter -> 2
1,246-passenger -> 1
1,249-kilometer -> 1
1,250-horsepower -> 1
1,250-kilometer -> 9
1,250-lawyer -> 1
1,250-member -> 5
1,250-meter -> 4
1,250-passenger -> 1
1,250-per-passenger -> 1
1,250-square-meter -> 1
1,253-meter -> 1
1,254-meter -> 2
1,254-square-meter -> 1
1,255-kilometer -> 4
1,255-meter -> 1
1,257-kilometer -> 1
1,258-passenger -> 2
1,260-member -> 2
1,260-meter -> 5
1,260-passenger -> 1
1,260-square-meter -> 5
1,261-member -> 1
1,263-kilometer -> 1
1,263-meter -> 2
1,264-passenger -> 3
1,265-kilometer -> 3
1,266-passenger -> 8
1,267-square-kilometerforeign-worker -> 1
1,269-kilometer -> 1
1,269-meter -> 1
1,270-kilometer -> 41
1,270-meter -> 2
1,270-passenger -> 1
1,271-kilometer -> 1
1,275-horsepower -> 2
1,275-meter -> 2
1,276-meter -> 2
1,277-meter -> 1
1,278-meter -> 1
1,280-kilometer -> 14
1,280-member -> 1
1,280-square-kilometer -> 5
1,281-kilometer -> 1
1,283-kilometer -> 1
1,284-meter -> 1
1,285-kilometer -> 5
1,285-member -> 1
1,287-kilometer -> 17
1,289-square-meter -> 1
1,290-kilometer -> 16
1,290-member -> 4
1,290-meter -> 2
1,291.8-kilometer -> 1
1,292-member -> 1
1,295-member -> 1
1,296-square-meter -> 1
1,299-meter -> 1
1,300-career -> 1
1,300-cubic-centimeter -> 1
1,300-guest -> 1
1,300-horsepower -> 3
1,300-kilometer -> 113
1,300-member -> 71
1,300-meter -> 12
1,300-mileborder -> 1
1,300-officer -> 2
1,300-passenger -> 7
1,300-prisoner -> 1
1,300-soldier -> 1
1,300-sq-meter -> 1
1,300-square-kilometer -> 7
1,300-square-meter -> 6
1,301-square-meter -> 1
1,302-member -> 1
1,303-kilometer -> 2
1,305-square-meter -> 1
1,307-square-meter -> 1
1,308-meter -> 1
1,309.2-meter -> 1
1,310-meter -> 3
1,312-kilometer -> 1
1,315-kilometer -> 1
1,316-meter -> 2
1,316-passenger -> 1
1,318-kilometer -> 7
1,318-member -> 1
1,318-meter -> 2
1,319-meter -> 1
1,320-kilometer -> 6
1,320-member -> 1
1,320-meter -> 3
1,320-passenger -> 2
1,321-kilometer -> 1
1,324-member -> 2
1,324-square-meter -> 1
1,325-square-meter -> 1
1,330-kilometer -> 1
1,330-member -> 4
1,331-kilometer -> 3
1,333-meter -> 1
1,334-square-kilometer -> 1
1,335-kilometer -> 3
1,335-meter -> 6
1,337-meter -> 2
1,337-square-meter -> 1
1,338-member -> 1
1,338-meter -> 1
1,339-member -> 1
1,340-cubic-centimeter -> 1
1,340-kilometer -> 26
1,340-meter -> 3
1,342-kilometer -> 1
1,343-meter -> 1
1,343.5-kilometer -> 1
1,344-kilometer -> 6
1,344-meter -> 3
1,346-meter -> 1
1,347-kilometer -> 1
1,347-meter -> 1
1,348-kilometer -> 1
1,349-kilometer -> 1
1,350-horsepower -> 1
1,350-kilometer -> 15
1,350-member -> 7
1,350-meter -> 2
1,350-passenger -> 1
1,350-square-kilometer -> 3
1,350-square-meter -> 12
1,3500-square-meter -> 1
1,352-meter -> 1
1,353-kilometer -> 1
1,354-passenger -> 2
1,354-pounder -> 1
1,356-kilometer -> 2
1,357-meter -> 1
1,358.6-kilometer -> 1
1,359-meter -> 1
1,360-kilometer -> 9
1,360-meter -> 6
1,363-kilometer -> 9
1,363-meter -> 1
1,365-kilometer -> 1
1,365-member -> 1
1,365-meter -> 2
1,367-kilometer -> 1
1,368-kilometer -> 2
1,369-kilometer -> 1
1,370-kilometer -> 4
1,370-square-meter -> 1
1,375-meter -> 1
1,377-meter -> 2
1,378-kilometer -> 1
1,380-kilometer -> 1
1,380-member -> 5
1,380-passenger -> 2
1,381-member -> 1
1,390-kilometer -> 1
1,391-kilometer -> 2
1,393-kilometer -> 3
1,393-square-meter -> 1
1,394-meter -> 1
1,394-square-meter -> 2
1,400-centimeter -> 1
1,400-horsepower -> 1
1,400-kilometer -> 48
1,400-member -> 72
1,400-meter -> 28
1,400-officer -> 1
1,400-passenger -> 4
1,400-soldier -> 1
1,400-sq-kilometer -> 1
1,400-sqare-meter -> 1
1,400-square-meter -> 7
1,400-worker -> 1
1,402-kilometer -> 1
1,405-meter -> 1
1,408-kilometer -> 1
1,412-kilometer -> 2
1,413-meter -> 1
1,414-kilometer -> 1
1,415-kilometer -> 2
1,415-meter -> 1
1,416-kilometer -> 1
1,418-meter -> 1
1,420-kilometer -> 3
1,420-meter -> 1
1,421-meter -> 1
1,422.2-kilometer -> 1
1,425-meter -> 1
1,430-kilometer -> 2
1,430-meter -> 1
1,431-kilometer -> 1
1,433-kilometer -> 1
1,433-meter -> 1
1,434-meter -> 1
1,435-meter -> 4
1,435-square-kilometer -> 1
1,436-meter -> 1
1,438-meter -> 1
1,440-kilometer -> 7
1,440-member -> 12
1,440-passenger -> 1
1,440-square-kilometer -> 1
1,440-square-meter -> 1
1,444-square-kilometer -> 1
1,445-kilometer -> 1
1,445-meter -> 4
1,448-kilometer -> 6
1,450-kilometer -> 13
1,450-member -> 1
1,450-meter -> 4
1,450-square-kilometer -> 1
1,451-kilometer -> 1
1,452-passenger -> 5
1,453-kilometer -> 1
1,454-member -> 2
1,455-meter -> 2
1,457-kilometer -> 1
1,458-kilometer -> 1
1,459.2-meter -> 1
1,460-kilometer -> 12
1,460-member -> 3
1,460-meter -> 1
1,461-meter -> 1
1,462-guest -> 1
1,462-passenger -> 1
1,464-kilometer -> 1
1,464-meter -> 1
1,465-kilometer -> 1
1,468-member -> 3
1,469-meter -> 2
1,470-kilometer -> 1
1,470-meter -> 1
1,470-passenger -> 1
1,470-pounder -> 1
1,470-square-meter -> 1
1,474-kilometer -> 1
1,475-member -> 1
1,475-meter -> 1
1,480-kilometer -> 1
1,483-kilometer -> 1
1,485-kilometer -> 1
1,485-meter -> 2
1,485-square-kilometer -> 1
1,486-meter -> 3
1,486-passenger -> 6
1,486-square-meter -> 1
1,487-meter -> 3
1,488-member -> 1
1,490-kilometer -> 2
1,492-member -> 1
1,495-square-meter -> 1
1,498-theater -> 1
1,499-meter -> 3
1,5-meter -> 1
1,50-meter -> 1
1,500,000-candlepower -> 1
1,500-character -> 1
1,500-cubic-centimeter -> 1
1,500-horsepower -> 8
1,500-kilometer -> 71
1,500-lawyer -> 1
1,500-liter -> 1
1,500-member -> 134
1,500-merter -> 1
1,500-meter -> 404
1,500-number -> 1
1,500-passenger -> 9
1,500-player -> 1
1,500-pounder -> 1
1,500-seater -> 4
1,500-soldier -> 5
1,500-square-kilometer -> 6
1,500-square-meter -> 16
1,500-worker -> 5
1,501-member -> 2
1,503-kilometer -> 1
1,505-member -> 1
1,506-square-kilometer -> 1
1,507-meter -> 1
1,508-meter -> 1
1,509-meter -> 2
1,510-kilometer -> 7
1,510-meter -> 1
1,512-passenger -> 1
1,514-liter -> 1
1,515-meter -> 1
1,518-kilometer -> 1
1,518-meter -> 1
1,518-passenger -> 1
1,518-square-kilometer -> 1
1,520-kilometer -> 1
1,520-meter -> 2
1,520-square-kilometer -> 1
1,521-meter -> 1
1,523-meter -> 1
1,524-meter -> 2
1,525-kilometer -> 1
1,525-meter -> 3
1,529-kilometer -> 2
1,530-kilometer -> 1
1,530-meter -> 1
1,530-square-meter -> 6
1,533-member -> 4
1,534-passenger -> 2
1,537-meter -> 1
1,537-passenger -> 1
1,540-kilometer -> 3
1,540-member -> 2
1,541-kilometer -> 1
1,545-kilometer -> 1
1,545-meter -> 2
1,546-meter -> 1
1,546-passenger -> 1
1,550-kilometer -> 5
1,550-meter -> 3
1,550-nanometer -> 1
1,550-square-kilometer -> 2
1,552-kilometer -> 1
1,552-meter -> 1
1,554-kilometer -> 1
1,554-square-kilometer -> 1
1,558-kilometer -> 1
1,559-meter -> 2
1,560-kilometer -> 1
1,560-meter -> 11
1,560-square-kilometer -> 4
1,564-kilometer -> 1
1,565-meter -> 3
1,566-passenger -> 1
1,567-meter -> 1
1,570-kilometer -> 1
1,575-kilometer -> 3
1,575-member -> 1
1,575-square-meter -> 1
1,576-soldier -> 1
1,579-square-meter -> 1
1,580-kilometer -> 7
1,580-square-meter -> 2
1,583-meter -> 1
1,584-meter -> 1
1,590-passenger -> 4
1,591-member -> 1
1,592-member -> 1
1,592-meter -> 1
1,595-kilometer -> 1
1,595-meter -> 1
1,596-meter -> 2
1,60-kilometer -> 1
1,600-character -> 1
1,600-horsepower -> 1
1,600-kilometer -> 92
1,600-member -> 52
1,600-meter -> 213
1,600-passenger -> 5
1,600-seater -> 1
1,600-soldier -> 1
1,600-square-kilometer -> 2
1,600-square-meter -> 5
1,602-passenger -> 1
1,607-member -> 1
1,609-kilometer -> 9
1,609-meter -> 5
1,609.3-kilometer -> 1
1,610-kilometer -> 5
1,610-meter -> 2
1,612-square-kilometer -> 1
1,613-kilometer -> 1
1,613-passenger -> 1
1,615-meter -> 1
1,620-meter -> 2
1,620-square-meter -> 3
1,622-kilometer -> 1
1,626-kilometer -> 2
1,630-kilometer -> 1
1,630-square-meter -> 1
1,632-kilometer -> 3
1,633-member -> 1
1,633-meter -> 2
1,635-meter -> 2
1,638-kilometer -> 1
1,638-meter -> 1
1,640-kilometer -> 5
1,640-member -> 1
1,640-meter -> 2
1,640-soldier -> 1
1,640-square-kilometer -> 1
1,643-kilometer -> 1
1,645-kilometer -> 2
1,646-kilometer -> 1
1,650-kilometer -> 6
1,650-member -> 8
1,650-meter -> 9
1,650-square-meter -> 1
1,653-kilometer -> 1
1,654-kilometer -> 1
1,660-kilometer -> 1
1,660-meter -> 1
1,661-meter -> 1
1,664-meter -> 1
1,665-kilometer -> 1
1,668-kilometer -> 2
1,668-square-kilometer -> 1
1,670-kilometer -> 1
1,670-meter -> 1
1,670-square-meter -> 2
1,671-member -> 1
1,672-kilometer -> 1
1,672-meter -> 1
1,672-square-meter -> 2
1,674-kilometer -> 1
1,675-member -> 1
1,675-meter -> 2
1,676-member -> 2
1,676-meter -> 2
1,677-kilometer -> 1
1,678-meter -> 2
1,680-kilometer -> 10
1,680-meter -> 3
1,680-square-kilometer -> 1
1,680-square-meter -> 1
1,689-meter -> 1
1,689-pounder -> 1
1,690-kilometer -> 2
1,690-meter -> 1
1,690-square-kilometer -> 1
1,696-member -> 1
1,699-kilometer -> 1
1,700-horsepower -> 1
1,700-kilometer -> 26
1,700-lawyer -> 4
1,700-member -> 45
1,700-meter -> 14
1,700-officer -> 1
1,700-passenger -> 1
1,700-plus-kilometer -> 1
1,700-square-kilometer -> 2
1,700-square-meter -> 8
1,700-worker -> 2
1,703-meter -> 5
1,704-meter -> 1
1,707-kilometer -> 1
1,710-meter -> 1
1,710-meterother -> 1
1,710-square-meter -> 1
1,718-kilometer -> 1
1,719-meter -> 1
1,720-kilometer -> 3
1,720-member -> 1
1,721-member -> 2
1,721-meter -> 1
1,722-kilometer -> 1
1,727-kilometer -> 1
1,727-meter -> 1
1,729-kilometer -> 1
1,729-meter -> 2
1,730-kilometer -> 13
1,730-meter -> 3
1,730-passenger -> 1
1,731-meter -> 5
1,732-kilometer -> 1
1,735-member -> 1
1,736-kilometer -> 1
1,737-meter -> 2
1,740-kilometer -> 5
1,740-meter -> 1
1,740-passenger -> 2
1,745-kilometer -> 1
1,745-meter -> 6
1,747-kilometer -> 2
1,748-kilometer -> 2
1,748-passenger -> 3
1,750-horsepower -> 1
1,750-kilometer -> 8
1,750-member -> 2
1,750-meter -> 6
1,750-passenger -> 14
1,750-square-kilometer -> 2
1,751-kilometer -> 3
1,752-meter -> 1
1,753-meter -> 1
1,754-passenger -> 1
1,756-passenger -> 1
1,759-kilometer -> 2
1,760-guest -> 1
1,760-kilometer -> 42
1,760-meter -> 1
1,760-passenger -> 1
1,760-square-meter -> 1
1,763-meter -> 1
1,765-member -> 1
1,765-square-meter -> 1
1,765.6-kilometer -> 2
1,768-kilometer -> 3
1,769-kilometer -> 1
1,770-kilometer -> 43
1,770-meter -> 1
1,774-kilometer -> 3
1,777-meter -> 1
1,778-passenger -> 1
1,780-kilometer -> 2
1,780-meter -> 4
1,783-meter -> 2
1,784-meter -> 7
1,787-meter -> 1
1,789-kilometer -> 1
1,789-meter -> 1
1,790-meter -> 2
1,790-worker -> 1
1,791-passenger -> 4
1,792-square-kilometer -> 1
1,794-kilometer -> 5
1,794-square-kilometer -> 1
1,795-meter -> 1
1,797-square-meter -> 1
1,8-meter -> 1
1,800-horsepower -> 4
1,800-kilometer -> 45
1,800-kilometerlowest -> 1
1,800-liter -> 1
1,800-member -> 62
1,800-meter -> 42
1,800-officer -> 2
1,800-passenger -> 10
1,800-pounder -> 1
1,800-soldier -> 1
1,800-square-kilometer -> 4
1,800-square-meter -> 16
1,800-worker -> 2
1,800-yardrusher -> 1
1,801-meter -> 2
1,804-kilometer -> 1
1,804-passenger -> 4
1,805-meter -> 1
1,807-meter -> 2
1,808-kilometer -> 5
1,808-passenger -> 4
1,810-kilometer -> 3
1,810-member -> 1
1,810-square-kilometer -> 1
1,813-meter -> 1
1,815-meter -> 1
1,817-meter -> 1
1,818-kilometer -> 3
1,820-kilometer -> 1
1,820-meter -> 1
1,825-meter -> 1
1,828-meter -> 2
1,829-meter -> 2
1,830-kilometer -> 2
1,830-meter -> 6
1,833-kilometer -> 4
1,833-meter -> 1
1,835-meter -> 1
1,840-kilometer -> 1
1,840-meter -> 2
1,840-square-kilometer -> 1
1,841-kilometer -> 1
1,842-kilometer -> 1
1,848-passenger -> 5
1,850-kilometer -> 4
1,850-member -> 2
1,850-meter -> 2
1,850-passenger -> 1
1,850-square-meter -> 1
1,853-square-kilometer -> 1
1,856-member -> 1
1,858-square-meter -> 2
1,860-kilometer -> 9
1,860-member -> 2
1,860-meter -> 2
1,860-square-meter -> 2
1,860.5-kilometer -> 1
1,863-kilometer -> 3
1,864-meter -> 1
1,866-kilometer -> 1
1,870-meter -> 1
1,870-passenger -> 4
1,870-square-kilometer -> 1
1,875-kilometer -> 1
1,880-kilometer -> 1
1,880-meter -> 3
1,880.53-meter -> 1
1,885-meter -> 1
1,886-meter -> 4
1,887-kilometer -> 5
1,889-seater -> 1
1,889-square-meter -> 1
1,890-meter -> 1
1,890-square-kilometer -> 1
1,890-square-meter -> 1
1,891-kilometer -> 1
1,892-kilometer -> 1
1,893-liter -> 1
1,893-meter -> 1
1,895-meter -> 1
1,897-kilometer -> 3
1,899-meter -> 1
1,90-kilometer -> 1
1,900-horse-power -> 1
1,900-kilometer -> 18
1,900-liter -> 2
1,900-member -> 12
1,900-meter -> 9
1,900-mile-border -> 1
1,900-passenger -> 12
1,900-seater -> 1
1,900-worker -> 1
1,903-meter -> 1
1,91-meter -> 1
1,916-passenger -> 1
1,918-passenger -> 1
1,919-meter -> 1
1,920-kilometer -> 6
1,920-meter -> 5
1,925-square-meter -> 1
1,930-kilometer -> 5
1,930-kilometerlatest -> 1
1,931-kilometer -> 1
1,937-kilometer -> 3
1,938-worker -> 1
1,939-meter -> 1
1,940-meter -> 1
1,940-pounder -> 1
1,940-square-kilometer -> 1
1,943-kilometer -> 2
1,947-meter -> 2
1,948-meter -> 1
1,950-kilometer -> 2
1,950-meter -> 5
1,950-passenger -> 18
1,950-square-meter -> 1
1,951-meter -> 1
1,951-squar-meter -> 1
1,952-meter -> 4
1,956-kilometer -> 15
1,957-meter -> 1
1,960-kilometer -> 2
1,960-passenger -> 5
1,962-member -> 1
1,963-kilometer -> 1
1,965-member -> 1
1,968-passenger -> 1
1,971-kilometer -> 2
1,971-officer -> 1
1,974-seater -> 1
1,975-kilometer -> 1
1,978-square-kilometer -> 1
1,98-meter -> 1
1,980-horsepower -> 1
1,980-kilometer -> 1
1,980-member -> 1
1,980-meter -> 2
1,980-square-meter -> 2
1,982-member -> 1
1,983-meter -> 2
1,985-meter -> 2
1,988-meter -> 1
1,989-meter -> 1
1,990-meter -> 1
1,991-meter -> 1
1,992-meter -> 1
1,995-kilometer -> 5
1,997-kilometer -> 1
1,997-meter -> 1
1,998-passenger -> 2
1,999-meter -> 1
1,999-passenger -> 1
1-2-centimeter -> 2
1-2-kilometer -> 2
1-2-meter -> 50
1-2meter -> 1
1-65-meter -> 1
1-800-big-brother -> 3
1-800-number -> 2
1-888-698-6er -> 1
1-900-number -> 2
1-a-beer -> 1
1-aa-caliber -> 1
1-and-forever -> 1
1-and-under -> 1
1-and-whatever -> 2
1-best -> 1
1-billion-guilder -> 2
1-billion-member -> 5
1-by-1-meter -> 1
1-by-2-meter -> 1
1-by-3-meter -> 1
1-caliber -> 7
1-cent-higher -> 1
1-centimeter -> 8
1-cubic-meter -> 1
1-cubic-millimeter -> 1
1-cylinder -> 3
1-foot-diameter -> 3
1-footer -> 7
1-guilder -> 1
1-handicapper -> 1
1-in-whatever -> 1
